Occupation Code,Occupation Title,Annual Median Wage,Occupation Group
43-0000,Office and Administrative Support Occupations,37580,Office and Administrative Support Occupations
43-1000,Supervisors of Office and Administrative Support Workers,56620,Office and Administrative Support Occupations
43-1010,First-Line Supervisors of Office and Administrative Support Workers,56620,Office and Administrative Support Occupations
43-1011,First-Line Supervisors of Office and Administrative Support Workers,56620,Office and Administrative Support Occupations
43-2000,Communications Equipment Operators,31070,Office and Administrative Support Occupations
43-2010,"Switchboard Operators, Including Answering Service",30610,Office and Administrative Support Occupations
43-2011,"Switchboard Operators, Including Answering Service",30610,Office and Administrative Support Occupations
43-2020,Telephone Operators,35750,Office and Administrative Support Occupations
43-2021,Telephone Operators,35750,Office and Administrative Support Occupations
43-2090,Miscellaneous Communications Equipment Operators,42790,Office and Administrative Support Occupations
43-2099,"Communications Equipment Operators, All Other",42790,Office and Administrative Support Occupations
43-3000,Financial Clerks,38510,Office and Administrative Support Occupations
43-3010,Bill and Account Collectors,37000,Office and Administrative Support Occupations
43-3011,Bill and Account Collectors,37000,Office and Administrative Support Occupations
43-3020,Billing and Posting Clerks,38740,Office and Administrative Support Occupations
43-3021,Billing and Posting Clerks,38740,Office and Administrative Support Occupations
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",41230,Office and Administrative Support Occupations
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",41230,Office and Administrative Support Occupations
43-3040,Gambling Cage Workers,28040,Office and Administrative Support Occupations
43-3041,Gambling Cage Workers,28040,Office and Administrative Support Occupations
43-3050,Payroll and Timekeeping Clerks,46180,Office and Administrative Support Occupations
43-3051,Payroll and Timekeeping Clerks,46180,Office and Administrative Support Occupations
43-3060,Procurement Clerks,43310,Office and Administrative Support Occupations
43-3061,Procurement Clerks,43310,Office and Administrative Support Occupations
43-3070,Tellers,31230,Office and Administrative Support Occupations
43-3071,Tellers,31230,Office and Administrative Support Occupations
43-3090,Miscellaneous Financial Clerks,42420,Office and Administrative Support Occupations
43-3099,"Financial Clerks, All Other",42420,Office and Administrative Support Occupations
43-4000,Information and Record Clerks,34050,Office and Administrative Support Occupations
43-4010,Brokerage Clerks,52750,Office and Administrative Support Occupations
43-4011,Brokerage Clerks,52750,Office and Administrative Support Occupations
43-4020,Correspondence Clerks,38140,Office and Administrative Support Occupations
43-4021,Correspondence Clerks,38140,Office and Administrative Support Occupations
43-4030,"Court, Municipal, and License Clerks",39380,Office and Administrative Support Occupations
43-4031,"Court, Municipal, and License Clerks",39380,Office and Administrative Support Occupations
43-4040,"Credit Authorizers, Checkers, and Clerks",40100,Office and Administrative Support Occupations
43-4041,"Credit Authorizers, Checkers, and Clerks",40100,Office and Administrative Support Occupations
43-4050,Customer Service Representatives,34710,Office and Administrative Support Occupations
43-4051,Customer Service Representatives,34710,Office and Administrative Support Occupations
43-4060,"Eligibility Interviewers, Government Programs",46590,Office and Administrative Support Occupations
43-4061,"Eligibility Interviewers, Government Programs",46590,Office and Administrative Support Occupations
43-4070,File Clerks,32710,Office and Administrative Support Occupations
43-4071,File Clerks,32710,Office and Administrative Support Occupations
43-4080,"Hotel, Motel, and Resort Desk Clerks",24470,Office and Administrative Support Occupations
43-4081,"Hotel, Motel, and Resort Desk Clerks",24470,Office and Administrative Support Occupations
43-4110,"Interviewers, Except Eligibility and Loan",34970,Office and Administrative Support Occupations
43-4111,"Interviewers, Except Eligibility and Loan",34970,Office and Administrative Support Occupations
43-4120,"Library Assistants, Clerical",27490,Office and Administrative Support Occupations
43-4121,"Library Assistants, Clerical",27490,Office and Administrative Support Occupations
43-4130,Loan Interviewers and Clerks,40640,Office and Administrative Support Occupations
43-4131,Loan Interviewers and Clerks,40640,Office and Administrative Support Occupations
43-4140,New Accounts Clerks,36550,Office and Administrative Support Occupations
43-4141,New Accounts Clerks,36550,Office and Administrative Support Occupations
43-4150,Order Clerks,34240,Office and Administrative Support Occupations
43-4151,Order Clerks,34240,Office and Administrative Support Occupations
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",41430,Office and Administrative Support Occupations
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",41430,Office and Administrative Support Occupations
43-4170,Receptionists and Information Clerks,30050,Office and Administrative Support Occupations
43-4171,Receptionists and Information Clerks,30050,Office and Administrative Support Occupations
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,38380,Office and Administrative Support Occupations
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,38380,Office and Administrative Support Occupations
43-4190,Miscellaneous Information and Record Clerks,41360,Office and Administrative Support Occupations
43-4199,"Information and Record Clerks, All Other",41360,Office and Administrative Support Occupations
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",40320,Office and Administrative Support Occupations
43-5010,Cargo and Freight Agents,43740,Office and Administrative Support Occupations
43-5011,Cargo and Freight Agents,43740,Office and Administrative Support Occupations
43-5020,Couriers and Messengers,29690,Office and Administrative Support Occupations
43-5021,Couriers and Messengers,29690,Office and Administrative Support Occupations
43-5030,Dispatchers,40780,Office and Administrative Support Occupations
43-5031,Public Safety Telecommunicators,41910,Office and Administrative Support Occupations
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",40190,Office and Administrative Support Occupations
43-5040,"Meter Readers, Utilities",42280,Office and Administrative Support Occupations
43-5041,"Meter Readers, Utilities",42280,Office and Administrative Support Occupations
43-5050,Postal Service Workers,52060,Office and Administrative Support Occupations
43-5051,Postal Service Clerks,48330,Office and Administrative Support Occupations
43-5052,Postal Service Mail Carriers,51310,Office and Administrative Support Occupations
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",60140,Office and Administrative Support Occupations
43-5060,"Production, Planning, and Expediting Clerks",48260,Office and Administrative Support Occupations
43-5061,"Production, Planning, and Expediting Clerks",48260,Office and Administrative Support Occupations
43-5070,"Shipping, Receiving, and Inventory Clerks",34190,Office and Administrative Support Occupations
43-5071,"Shipping, Receiving, and Inventory Clerks",34190,Office and Administrative Support Occupations
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",35040,Office and Administrative Support Occupations
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",35040,Office and Administrative Support Occupations
43-6000,Secretaries and Administrative Assistants,39850,Office and Administrative Support Occupations
43-6010,Secretaries and Administrative Assistants,39850,Office and Administrative Support Occupations
43-6011,Executive Secretaries and Executive Administrative Assistants,60890,Office and Administrative Support Occupations
43-6012,Legal Secretaries and Administrative Assistants,47300,Office and Administrative Support Occupations
43-6013,Medical Secretaries and Administrative Assistants,36580,Office and Administrative Support Occupations
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",37690,Office and Administrative Support Occupations
43-9000,Other Office and Administrative Support Workers,34670,Office and Administrative Support Occupations
43-9020,Data Entry and Information Processing Workers,34920,Office and Administrative Support Occupations
43-9021,Data Entry Keyers,33490,Office and Administrative Support Occupations
43-9022,Word Processors and Typists,40340,Office and Administrative Support Occupations
43-9030,Desktop Publishers,45390,Office and Administrative Support Occupations
43-9031,Desktop Publishers,45390,Office and Administrative Support Occupations
43-9040,Insurance Claims and Policy Processing Clerks,40750,Office and Administrative Support Occupations
43-9041,Insurance Claims and Policy Processing Clerks,40750,Office and Administrative Support Occupations
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",30960,Office and Administrative Support Occupations
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",30960,Office and Administrative Support Occupations
43-9060,"Office Clerks, General",34040,Office and Administrative Support Occupations
43-9061,"Office Clerks, General",34040,Office and Administrative Support Occupations
43-9070,"Office Machine Operators, Except Computer",33450,Office and Administrative Support Occupations
43-9071,"Office Machine Operators, Except Computer",33450,Office and Administrative Support Occupations
43-9080,Proofreaders and Copy Markers,40630,Office and Administrative Support Occupations
43-9081,Proofreaders and Copy Markers,40630,Office and Administrative Support Occupations
43-9110,Statistical Assistants,49870,Office and Administrative Support Occupations
43-9111,Statistical Assistants,49870,Office and Administrative Support Occupations
43-9190,Miscellaneous Office and Administrative Support Workers,35470,Office and Administrative Support Occupations
43-9199,"Office and Administrative Support Workers, All Other",35470,Office and Administrative Support Occupations
45-0000,"Farming, Fishing, and Forestry Occupations",27180,"Farming, Fishing, and Forestry Occupations"
45-1000,"Supervisors of Farming, Fishing, and Forestry Workers",48280,"Farming, Fishing, and Forestry Occupations"
45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",48280,"Farming, Fishing, and Forestry Occupations"
45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",48280,"Farming, Fishing, and Forestry Occupations"
45-2000,Agricultural Workers,26030,"Farming, Fishing, and Forestry Occupations"
45-2010,Agricultural Inspectors,45490,"Farming, Fishing, and Forestry Occupations"
45-2011,Agricultural Inspectors,45490,"Farming, Fishing, and Forestry Occupations"
45-2020,Animal Breeders,42920,"Farming, Fishing, and Forestry Occupations"
45-2021,Animal Breeders,42920,"Farming, Fishing, and Forestry Occupations"
45-2040,"Graders and Sorters, Agricultural Products",25670,"Farming, Fishing, and Forestry Occupations"
45-2041,"Graders and Sorters, Agricultural Products",25670,"Farming, Fishing, and Forestry Occupations"
45-2090,Miscellaneous Agricultural Workers,25820,"Farming, Fishing, and Forestry Occupations"
45-2091,Agricultural Equipment Operators,31950,"Farming, Fishing, and Forestry Occupations"
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",25440,"Farming, Fishing, and Forestry Occupations"
45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",27830,"Farming, Fishing, and Forestry Occupations"
45-2099,"Agricultural Workers, All Other",29590,"Farming, Fishing, and Forestry Occupations"
45-4000,"Forest, Conservation, and Logging Workers",39090,"Farming, Fishing, and Forestry Occupations"
45-4010,Forest and Conservation Workers,31770,"Farming, Fishing, and Forestry Occupations"
45-4011,Forest and Conservation Workers,31770,"Farming, Fishing, and Forestry Occupations"
45-4020,Logging Workers,41230,"Farming, Fishing, and Forestry Occupations"
45-4021,Fallers,44650,"Farming, Fishing, and Forestry Occupations"
45-4022,Logging Equipment Operators,41440,"Farming, Fishing, and Forestry Occupations"
45-4023,Log Graders and Scalers,37280,"Farming, Fishing, and Forestry Occupations"
45-4029,"Logging Workers, All Other",39780,"Farming, Fishing, and Forestry Occupations"
47-0000,Construction and Extraction Occupations,47430,Construction and Extraction Occupations
47-1000,Supervisors of Construction and Extraction Workers,66210,Construction and Extraction Occupations
47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,66210,Construction and Extraction Occupations
47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,66210,Construction and Extraction Occupations
47-2000,Construction Trades Workers,46340,Construction and Extraction Occupations
47-2010,Boilermakers,63100,Construction and Extraction Occupations
47-2011,Boilermakers,63100,Construction and Extraction Occupations
47-2020,"Brickmasons, Blockmasons, and Stonemasons",51550,Construction and Extraction Occupations
47-2021,Brickmasons and Blockmasons,53100,Construction and Extraction Occupations
47-2022,Stonemasons,43280,Construction and Extraction Occupations
47-2030,Carpenters,48330,Construction and Extraction Occupations
47-2031,Carpenters,48330,Construction and Extraction Occupations
47-2040,"Carpet, Floor, and Tile Installers and Finishers",42050,Construction and Extraction Occupations
47-2041,Carpet Installers,40090,Construction and Extraction Occupations
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",44240,Construction and Extraction Occupations
47-2043,Floor Sanders and Finishers,39610,Construction and Extraction Occupations
47-2044,Tile and Stone Setters,43050,Construction and Extraction Occupations
47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers",44870,Construction and Extraction Occupations
47-2051,Cement Masons and Concrete Finishers,44810,Construction and Extraction Occupations
47-2053,Terrazzo Workers and Finishers,52180,Construction and Extraction Occupations
47-2060,Construction Laborers,36860,Construction and Extraction Occupations
47-2061,Construction Laborers,36860,Construction and Extraction Occupations
47-2070,Construction Equipment Operators,48160,Construction and Extraction Occupations
47-2071,"Paving, Surfacing, and Tamping Equipment Operators",40130,Construction and Extraction Occupations
47-2072,Pile Driver Operators,62600,Construction and Extraction Occupations
47-2073,Operating Engineers and Other Construction Equipment Operators,48980,Construction and Extraction Occupations
47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers",47360,Construction and Extraction Occupations
47-2081,Drywall and Ceiling Tile Installers,45700,Construction and Extraction Occupations
47-2082,Tapers,59070,Construction and Extraction Occupations
47-2110,Electricians,56180,Construction and Extraction Occupations
47-2111,Electricians,56180,Construction and Extraction Occupations
47-2120,Glaziers,44630,Construction and Extraction Occupations
47-2121,Glaziers,44630,Construction and Extraction Occupations
47-2130,Insulation Workers,44180,Construction and Extraction Occupations
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",40380,Construction and Extraction Occupations
47-2132,"Insulation Workers, Mechanical",48690,Construction and Extraction Occupations
47-2140,Painters and Paperhangers,40280,Construction and Extraction Occupations
47-2141,"Painters, Construction and Maintenance",40280,Construction and Extraction Occupations
47-2142,Paperhangers,40520,Construction and Extraction Occupations
47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters",53900,Construction and Extraction Occupations
47-2151,Pipelayers,38820,Construction and Extraction Occupations
47-2152,"Plumbers, Pipefitters, and Steamfitters",55160,Construction and Extraction Occupations
47-2160,Plasterers and Stucco Masons,45440,Construction and Extraction Occupations
47-2161,Plasterers and Stucco Masons,45440,Construction and Extraction Occupations
47-2170,Reinforcing Iron and Rebar Workers,49100,Construction and Extraction Occupations
47-2171,Reinforcing Iron and Rebar Workers,49100,Construction and Extraction Occupations
47-2180,Roofers,42100,Construction and Extraction Occupations
47-2181,Roofers,42100,Construction and Extraction Occupations
47-2210,Sheet Metal Workers,50400,Construction and Extraction Occupations
47-2211,Sheet Metal Workers,50400,Construction and Extraction Occupations
47-2220,Structural Iron and Steel Workers,55040,Construction and Extraction Occupations
47-2221,Structural Iron and Steel Workers,55040,Construction and Extraction Occupations
47-2230,Solar Photovoltaic Installers,44890,Construction and Extraction Occupations
47-2231,Solar Photovoltaic Installers,44890,Construction and Extraction Occupations
47-3000,"Helpers, Construction Trades",32720,Construction and Extraction Occupations
47-3010,"Helpers, Construction Trades",32720,Construction and Extraction Occupations
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",35410,Construction and Extraction Occupations
47-3012,Helpers--Carpenters,33060,Construction and Extraction Occupations
47-3013,Helpers--Electricians,32830,Construction and Extraction Occupations
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",31340,Construction and Extraction Occupations
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",32100,Construction and Extraction Occupations
47-3016,Helpers--Roofers,32110,Construction and Extraction Occupations
47-3019,"Helpers, Construction Trades, All Other",31910,Construction and Extraction Occupations
47-4000,Other Construction and Related Workers,46510,Construction and Extraction Occupations
47-4010,Construction and Building Inspectors,60710,Construction and Extraction Occupations
47-4011,Construction and Building Inspectors,60710,Construction and Extraction Occupations
47-4020,Elevator and Escalator Installers and Repairers,84990,Construction and Extraction Occupations
47-4021,Elevator and Escalator Installers and Repairers,84990,Construction and Extraction Occupations
47-4030,Fence Erectors,35800,Construction and Extraction Occupations
47-4031,Fence Erectors,35800,Construction and Extraction Occupations
47-4040,Hazardous Materials Removal Workers,43900,Construction and Extraction Occupations
47-4041,Hazardous Materials Removal Workers,43900,Construction and Extraction Occupations
47-4050,Highway Maintenance Workers,40730,Construction and Extraction Occupations
47-4051,Highway Maintenance Workers,40730,Construction and Extraction Occupations
47-4060,Rail-Track Laying and Maintenance Equipment Operators,56100,Construction and Extraction Occupations
47-4061,Rail-Track Laying and Maintenance Equipment Operators,56100,Construction and Extraction Occupations
47-4070,Septic Tank Servicers and Sewer Pipe Cleaners,39870,Construction and Extraction Occupations
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,39870,Construction and Extraction Occupations
47-5000,Extraction Workers,44940,Construction and Extraction Occupations
47-5010,"Derrick, Rotary Drill, and Service Unit Operators, Oil and Gas",48340,Construction and Extraction Occupations
47-5011,"Derrick Operators, Oil and Gas",46990,Construction and Extraction Occupations
47-5012,"Rotary Drill Operators, Oil and Gas",54980,Construction and Extraction Occupations
47-5013,"Service Unit Operators, Oil and Gas",46740,Construction and Extraction Occupations
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",44800,Construction and Extraction Occupations
47-5041,Continuous Mining Machine Operators,55280,Construction and Extraction Occupations
47-5043,"Roof Bolters, Mining",59090,Construction and Extraction Occupations
47-5044,"Loading and Moving Machine Operators, Underground Mining",54210,Construction and Extraction Occupations
47-5050,"Rock Splitters, Quarry",36070,Construction and Extraction Occupations
47-5051,"Rock Splitters, Quarry",36070,Construction and Extraction Occupations
47-5070,"Roustabouts, Oil and Gas",38910,Construction and Extraction Occupations
47-5071,"Roustabouts, Oil and Gas",38910,Construction and Extraction Occupations
47-5080,Helpers--Extraction Workers,37120,Construction and Extraction Occupations
47-5081,Helpers--Extraction Workers,37120,Construction and Extraction Occupations
47-5097,"Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters",46250,Construction and Extraction Occupations
47-5098,"Underground Mining Machine Operators and Extraction Workers, All Other",50160,Construction and Extraction Occupations
49-0000,"Installation, Maintenance, and Repair Occupations",46630,"Installation, Maintenance, and Repair Occupations"
49-1000,"Supervisors of Installation, Maintenance, and Repair Workers",67460,"Installation, Maintenance, and Repair Occupations"
49-1010,"First-Line Supervisors of Mechanics, Installers, and Repairers",67460,"Installation, Maintenance, and Repair Occupations"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",67460,"Installation, Maintenance, and Repair Occupations"
49-2000,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",52570,"Installation, Maintenance, and Repair Occupations"
49-2010,"Computer, Automated Teller, and Office Machine Repairers",39530,"Installation, Maintenance, and Repair Occupations"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",39530,"Installation, Maintenance, and Repair Occupations"
49-2020,Radio and Telecommunications Equipment Installers and Repairers,57730,"Installation, Maintenance, and Repair Occupations"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",55380,"Installation, Maintenance, and Repair Occupations"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",57910,"Installation, Maintenance, and Repair Occupations"
49-2090,"Miscellaneous Electrical and Electronic Equipment Mechanics, Installers, and Repairers",54370,"Installation, Maintenance, and Repair Occupations"
49-2091,Avionics Technicians,65700,"Installation, Maintenance, and Repair Occupations"
49-2092,"Electric Motor, Power Tool, and Related Repairers",44070,"Installation, Maintenance, and Repair Occupations"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",62530,"Installation, Maintenance, and Repair Occupations"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",59300,"Installation, Maintenance, and Repair Occupations"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",82780,"Installation, Maintenance, and Repair Occupations"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",37380,"Installation, Maintenance, and Repair Occupations"
49-2097,Audiovisual Equipment Installers and Repairers,39510,"Installation, Maintenance, and Repair Occupations"
49-2098,Security and Fire Alarm Systems Installers,48970,"Installation, Maintenance, and Repair Occupations"
49-3000,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",44590,"Installation, Maintenance, and Repair Occupations"
49-3010,Aircraft Mechanics and Service Technicians,64090,"Installation, Maintenance, and Repair Occupations"
49-3011,Aircraft Mechanics and Service Technicians,64090,"Installation, Maintenance, and Repair Occupations"
49-3020,Automotive Technicians and Repairers,42150,"Installation, Maintenance, and Repair Occupations"
49-3021,Automotive Body and Related Repairers,43580,"Installation, Maintenance, and Repair Occupations"
49-3022,Automotive Glass Installers and Repairers,35790,"Installation, Maintenance, and Repair Occupations"
49-3023,Automotive Service Technicians and Mechanics,42090,"Installation, Maintenance, and Repair Occupations"
49-3030,Bus and Truck Mechanics and Diesel Engine Specialists,48500,"Installation, Maintenance, and Repair Occupations"
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,48500,"Installation, Maintenance, and Repair Occupations"
49-3040,Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,51590,"Installation, Maintenance, and Repair Occupations"
49-3041,Farm Equipment Mechanics and Service Technicians,42200,"Installation, Maintenance, and Repair Occupations"
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",53370,"Installation, Maintenance, and Repair Occupations"
49-3043,Rail Car Repairers,56390,"Installation, Maintenance, and Repair Occupations"
49-3050,Small Engine Mechanics,37840,"Installation, Maintenance, and Repair Occupations"
49-3051,Motorboat Mechanics and Service Technicians,41330,"Installation, Maintenance, and Repair Occupations"
49-3052,Motorcycle Mechanics,37600,"Installation, Maintenance, and Repair Occupations"
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,36100,"Installation, Maintenance, and Repair Occupations"
49-3090,"Miscellaneous Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",29520,"Installation, Maintenance, and Repair Occupations"
49-3091,Bicycle Repairers,30330,"Installation, Maintenance, and Repair Occupations"
49-3092,Recreational Vehicle Service Technicians,38570,"Installation, Maintenance, and Repair Occupations"
49-3093,Tire Repairers and Changers,28640,"Installation, Maintenance, and Repair Occupations"
49-9000,"Other Installation, Maintenance, and Repair Occupations",44100,"Installation, Maintenance, and Repair Occupations"
49-9010,Control and Valve Installers and Repairers,50640,"Installation, Maintenance, and Repair Occupations"
49-9011,Mechanical Door Repairers,41570,"Installation, Maintenance, and Repair Occupations"
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",58100,"Installation, Maintenance, and Repair Occupations"
49-9020,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",48730,"Installation, Maintenance, and Repair Occupations"
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",48730,"Installation, Maintenance, and Repair Occupations"
49-9030,Home Appliance Repairers,40260,"Installation, Maintenance, and Repair Occupations"
49-9031,Home Appliance Repairers,40260,"Installation, Maintenance, and Repair Occupations"
49-9040,"Industrial Machinery Installation, Repair, and Maintenance Workers",52860,"Installation, Maintenance, and Repair Occupations"
49-9041,Industrial Machinery Mechanics,53590,"Installation, Maintenance, and Repair Occupations"
49-9043,"Maintenance Workers, Machinery",47520,"Installation, Maintenance, and Repair Occupations"
49-9044,Millwrights,55560,"Installation, Maintenance, and Repair Occupations"
49-9045,"Refractory Materials Repairers, Except Brickmasons",53990,"Installation, Maintenance, and Repair Occupations"
49-9050,Line Installers and Repairers,65700,"Installation, Maintenance, and Repair Occupations"
49-9051,Electrical Power-Line Installers and Repairers,72520,"Installation, Maintenance, and Repair Occupations"
49-9052,Telecommunications Line Installers and Repairers,56750,"Installation, Maintenance, and Repair Occupations"
49-9060,Precision Instrument and Equipment Repairers,48440,"Installation, Maintenance, and Repair Occupations"
49-9061,Camera and Photographic Equipment Repairers,38880,"Installation, Maintenance, and Repair Occupations"
49-9062,Medical Equipment Repairers,49280,"Installation, Maintenance, and Repair Occupations"
49-9063,Musical Instrument Repairers and Tuners,36650,"Installation, Maintenance, and Repair Occupations"
49-9064,Watch and Clock Repairers,42520,"Installation, Maintenance, and Repair Occupations"
49-9069,"Precision Instrument and Equipment Repairers, All Other",58720,"Installation, Maintenance, and Repair Occupations"
49-9070,"Maintenance and Repair Workers, General",39080,"Installation, Maintenance, and Repair Occupations"
49-9071,"Maintenance and Repair Workers, General",39080,"Installation, Maintenance, and Repair Occupations"
49-9080,Wind Turbine Service Technicians,52910,"Installation, Maintenance, and Repair Occupations"
49-9081,Wind Turbine Service Technicians,52910,"Installation, Maintenance, and Repair Occupations"
49-9090,"Miscellaneous Installation, Maintenance, and Repair Workers",37250,"Installation, Maintenance, and Repair Occupations"
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",35420,"Installation, Maintenance, and Repair Occupations"
49-9092,Commercial Divers,49980,"Installation, Maintenance, and Repair Occupations"
49-9094,Locksmiths and Safe Repairers,41940,"Installation, Maintenance, and Repair Occupations"
49-9095,Manufactured Building and Mobile Home Installers,33890,"Installation, Maintenance, and Repair Occupations"
49-9096,Riggers,50860,"Installation, Maintenance, and Repair Occupations"
49-9097,Signal and Track Switch Repairers,73890,"Installation, Maintenance, and Repair Occupations"
49-9098,"Helpers--Installation, Maintenance, and Repair Workers",30530,"Installation, Maintenance, and Repair Occupations"
49-9099,"Installation, Maintenance, and Repair Workers, All Other",39830,"Installation, Maintenance, and Repair Occupations"
51-0000,Production Occupations,36000,Production Occupations
51-1000,Supervisors of Production Workers,61310,Production Occupations
51-1010,First-Line Supervisors of Production and Operating Workers,61310,Production Occupations
51-1011,First-Line Supervisors of Production and Operating Workers,61310,Production Occupations
51-2000,Assemblers and Fabricators,33710,Production Occupations
51-2010,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54210,Production Occupations
51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",54210,Production Occupations
51-2020,"Electrical, Electronics, and Electromechanical Assemblers",34880,Production Occupations
51-2021,"Coil Winders, Tapers, and Finishers",36520,Production Occupations
51-2028,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",34810,Production Occupations
51-2030,Engine and Other Machine Assemblers,45660,Production Occupations
51-2031,Engine and Other Machine Assemblers,45660,Production Occupations
51-2040,Structural Metal Fabricators and Fitters,40390,Production Occupations
51-2041,Structural Metal Fabricators and Fitters,40390,Production Occupations
51-2050,Fiberglass Laminators and Fabricators,35480,Production Occupations
51-2051,Fiberglass Laminators and Fabricators,35480,Production Occupations
51-2060,Timing Device Assemblers and Adjusters,35080,Production Occupations
51-2061,Timing Device Assemblers and Adjusters,35080,Production Occupations
51-3000,Food Processing Workers,29320,Production Occupations
51-3010,Bakers,27700,Production Occupations
51-3011,Bakers,27700,Production Occupations
51-3020,"Butchers and Other Meat, Poultry, and Fish Processing Workers",29520,Production Occupations
51-3021,Butchers and Meat Cutters,32500,Production Occupations
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",28100,Production Occupations
51-3023,Slaughterers and Meat Packers,29230,Production Occupations
51-3090,Miscellaneous Food Processing Workers,30200,Production Occupations
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",31590,Production Occupations
51-3092,Food Batchmakers,30790,Production Occupations
51-3093,Food Cooking Machine Operators and Tenders,31110,Production Occupations
51-3099,"Food Processing Workers, All Other",27550,Production Occupations
51-4000,Metal Workers and Plastic Workers,39430,Production Occupations
51-4020,"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",37690,Production Occupations
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",36320,Production Occupations
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",39670,Production Occupations
51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",40490,Production Occupations
51-4030,"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",36480,Production Occupations
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",35610,Production Occupations
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",38910,Production Occupations
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",36100,Production Occupations
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",40100,Production Occupations
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",43210,Production Occupations
51-4040,Machinists,44420,Production Occupations
51-4041,Machinists,44420,Production Occupations
51-4050,"Metal Furnace Operators, Tenders, Pourers, and Casters",40890,Production Occupations
51-4051,Metal-Refining Furnace Operators and Tenders,42250,Production Occupations
51-4052,"Pourers and Casters, Metal",38620,Production Occupations
